Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Minimum Interval to Include Each Query,minimum-interval-to-include-each-query,1977,"You are given a 2D integer array intervals, where intervals[i] = [lefti, righti] describes the ith interval starting at lefti and ending at righti (inclusive). The size of an interval is defined as the number of integers it contains, or more formally righti - lefti + 1. You are also given an integer array queries. The answer to the jth query is the size of the smallest interval i such that lefti <= queries[j] <= righti. If no such interval exists, the answer is -1. Return an array containing the answers to the queries. ","Array,Binary Search,Line Sweep,Sorting,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjU2MTE5,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw",Hard,45.5,14492,6599,,336,6,Is there a way to order the intervals and queries such that it takes less time to query? Is there a way to add and remove intervals by going from the smallest query to the largest query to find the minimum size?,,
Distinct Numbers in Each Subarray,distinct-numbers-in-each-subarray,2003,,"Array,Hash Table,Sliding Window","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjU1ODIx",Medium,72.6,5116,3712,,73,3,"Keep a frequency map of the elements in each window. When the frequency of the element is 0, remove it from the map. The answer to each window is the size of the map.",,
Convert Date Format,convert-date-format,2004,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,87.8,7506,6589,,28,31,,,
Maximum Population Year,maximum-population-year,1983,"You are given a 2D integer array logs where each logs[i] = [birthi, deathi] indicates the birth and death years of the ith person. The population of some year x is the number of people alive during that year. The ith person is counted in year x's population if x is in the inclusive range [birthi, deathi - 1]. Note that the person is not counted in the year that they die. Return the earliest year with the maximum population. ","Array,Counting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDYy",Easy,58.6,49364,28951,,539,77,For each year find the number of people whose birth_i ≤ year and death_i > year. Find the maximum value between all years.,,
Maximum Distance Between a Pair of Values,maximum-distance-between-a-pair-of-values,1984,"You are given two non-increasing 0-indexed integer arrays nums1​​​​​​ and nums2​​​​​​. A pair of indices (i, j), where 0 <= i < nums1.length and 0 <= j < nums2.length, is valid if both i <= j and nums1[i] <= nums2[j]. The distance of the pair is j - i​​​​. Return the maximum distance of any valid pair (i, j). If there are no valid pairs, return 0. An array arr is non-increasing if arr[i-1] >= arr[i] for every 1 <= i < arr.length. ","Array,Two Pointers,Binary Search,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjE3",Medium,50.0,43219,21602,,564,11,Since both arrays are sorted in a non-increasing way this means that for each value in the first array. We can find the farthest value smaller than it using binary search. There is another solution using a two pointers approach since the first array is non-increasing the farthest j such that nums2[j] ≥ nums1[i] is at least as far as the farthest j such that nums2[j] ≥ nums1[i-1],2199,Two Furthest Houses With Different Colors
Maximum Subarray Min-Product,maximum-subarray-min-product,1985,"The min-product of an array is equal to the minimum value in the array multiplied by the array's sum. Given an array of integers nums, return the maximum min-product of any non-empty subarray of nums. Since the answer may be large, return it modulo 109 + 7. Note that the min-product should be maximized before performing the modulo operation. Testcases are generated such that the maximum min-product without modulo will fit in a 64-bit signed integer. A subarray is a contiguous part of an array. ","Array,Stack,Monotonic Stack,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjYxMDU0,VG9waWNUYWdOb2RlOjYxMDY4",Medium,35.4,33411,11814,,745,43,Is there a way we can sort the elements to simplify the problem? Can we find the maximum min-product for every value in the array?,,
Largest Color Value in a Directed Graph,largest-color-value-in-a-directed-graph,1986,"There is a directed graph of n colored nodes and m edges. The nodes are numbered from 0 to n - 1. You are given a string colors where colors[i] is a lowercase English letter representing the color of the ith node in this graph (0-indexed). You are also given a 2D array edges where edges[j] = [aj, bj] indicates that there is a directed edge from node aj to node bj. A valid path in the graph is a sequence of nodes x1 -> x2 -> x3 -> ... -> xk such that there is a directed edge from xi to xi+1 for every 1 <= i < k. The color value of the path is the number of nodes that are colored the most frequently occurring color along that path. Return the largest color value of any valid path in the given graph, or -1 if the graph contains a cycle. ","Hash Table,Dynamic Programming,Graph,Topological Sort,Memoization,Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjI2,VG9waWNUYWdOb2RlOjMz,VG9waWNUYWdOb2RlOjYxMDYy",Hard,39.8,27398,10897,,436,16,Use topological sort. let dp[u][c] := the maximum count of vertices with color c of any path starting from vertex u. (by JerryJin2905),,
Longest Word With All Prefixes,longest-word-with-all-prefixes,2009,,"Depth-First Search,Trie","VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjI3",Medium,66.6,5553,3700,,101,3,Add all the words to a trie. Check the longest path where all the nodes are words.,720,Longest Word in Dictionary
Sorting the Sentence,sorting-the-sentence,1970,"A sentence is a list of words that are separated by a single space with no leading or trailing spaces. Each word consists of lowercase and uppercase English letters. A sentence can be shuffled by appending the 1-indexed word position to each word then rearranging the words in the sentence. Given a shuffled sentence s containing no more than 9 words, reconstruct and return the original sentence. ","String,Sorting","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,84.5,72587,61324,,907,26,Divide the string into the words as an array of strings Sort the words by removing the last character from each word and sorting according to it,2168,Check if Numbers Are Ascending in a Sentence
Incremental Memory Leak,incremental-memory-leak,1971,"You are given two integers memory1 and memory2 representing the available memory in bits on two memory sticks. There is currently a faulty program running that consumes an increasing amount of memory every second. At the ith second (starting from 1), i bits of memory are allocated to the stick with more available memory (or from the first memory stick if both have the same available memory). If neither stick has at least i bits of available memory, the program crashes. Return an array containing [crashTime, memory1crash, memory2crash], where crashTime is the time (in seconds) when the program crashed and memory1crash and memory2crash are the available bits of memory in the first and second sticks respectively. ",Simulation,VG9waWNUYWdOb2RlOjYxMDU1,Medium,71.0,17187,12204,,133,58,What is the upper bound for the number of seconds? Simulate the process of allocating memory.,,
